Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Gene Names,Uniplot,Function,Disease,Idication
1iyh_v,8,3.047,0.3809,1.03026,0,4,2,1,1,0,Glutathione-requiring prostaglandin D synthase,ISOMERASE,JAK2,PTGD2_HUMAN,"Catalyzes the conversion of PGH2 to PGD2, a prostaglandin involved in smooth muscle contraction/relaxation and a potent inhibitor of platelet aggregation.",NONE,NONE
1kpe_v,8,3.044,0.3805,1.07542,0,3,5,0,0,0,Histidine triad nucleotide-binding protein 1,PROTEIN KINASE INHIBITOR,SELP GMRP GRMP,HINT1_HUMAN,"Hydrolyzes adenosine 5-monophosphoramidate substrates such as AMP-morpholidate, AMP-N-alanine methyl ester, AMP-alpha- acetyl lysine methyl ester and AMP-NH2 (By similarity).",NONE,NONE
1he4_v,7,2.659,0.3798,0.550045,2,2,1,1,0,1,Flavin reductase,NONE,TGFB2,P30043,Cell wall/membrane/envelope biogenesis,NONE,For the treatment of ariboflavinosis (vitamin B2 deficiency).
1g1t_v,9,3.399,0.3777,1.91266,0,7,1,0,1,0,E-selectin,"IMMUNE SYSTEM, MEMBRANE PROTEIN",C1S,LYAM2_HUMAN,Cell-surface glycoprotein having a role in immunoadhesion. Mediates in the adhesion of blood neutrophils in cytokine-activated endothelium through interaction with PSGL1/SELPLG. May have a role in capillary morphogenesis.,NONE,Asthma;Lung injury;Atopic dermatitis;Cerebrovascular ischemia;Shock;Ischemic heart disease;Dermatitis;Respiratory disease;Inflammatory bowel disease;Inflammation;Chronic obstructive pulmonary disease;Myocardial infarction;Injury;Psoriasis;Reperfusion injury;Sepsis;Skin burns;Respiratory distress syndrome;Transplant rejection;Hypertension
1fkg_v,7,2.642,0.3775,-0.21404,4,3,0,0,0,0,Peptidyl-prolyl cis-trans isomerase FKBP1A,CIS-TRANS ISOMERASE,SDS SDH,FKB1A_HUMAN,"May play a role in modulation of ryanodine receptor isoform-1 (RYR-1), a component of the calcium release channel of skeletal muscle sarcoplasmic reticulum. There are four molecules of FKBP12 per skeletal muscle RYR. PPIases accelerate the folding of prot",NONE,NONE
2qcf_v,6,2.258,0.3763,-0.82057,0,3,2,0,1,0,Uridine 5-monophosphate synthase,LYASE,PRKCQ PRKCT,PYR5_HUMAN,NONE,"Defects in UMPS are a cause of hereditary orotic aciduria (HOA) [MIM:258900]; also known as orotic aciduria type 1, a recessive disease characterized by retarded growth, anemia, and excessive urinary excretion of orotic acid.",Squamous cell carcinoma;Biliary cancer;Cancer;Non-small-cell lung cancer;Gastrointestinal tumor;Renal cell carcinoma;Breast tumor;Lung tumor;Head and neck tumor;Colorectal tumor;Adenocarcinoma;Prostate tumor;Pancreas tumor;Hepatocellular carcinoma;Stomach tumor
1x6v_v,7,2.623,0.3747,-0.45773,0,5,1,0,1,0,Bifunctional 3-phosphoadenosine 5-phosphosulfate synthetase 1,NONE,FGG PRO2061,O43252,Involved in ATP binding,NONE,NONE
1yvj_v,6,2.237,0.3729,-1.48045,4,1,1,0,0,0,Tyrosine-protein kinase JAK3,TRANSFERASE,MME EPN,JAK3_HUMAN,"Tyrosine kinase of the non-receptor type, involved in the interleukin-2 and interleukin-4 signaling pathway. Phosphorylates STAT6, IRS1, IRS2 and PI3K.","Defects in JAK3 are a cause of severe combined immunodeficiency autosomal recessive T-cell-negative/B-cell- positive/NK-cell-negative (T(-)B(+)NK(-)SCID) [MIM:600802]. SCID refers to a genetically and clinically heterogeneous group of rare congenital disorders characterized by impairment of both humoral and cell-mediated immunity, leukopenia, and low or absent antibody levels. Patients with SCID present in infancy with recurrent, persistent infections by opportunistic organisms. The common characteristic of all types of SCID is absence of T-cell-mediated cellular immunity due to a defect in T-cell development.",Psoriasis;Transplant rejection;Rheumatoid arthritis;Respiratory tract inflammation;Autoimmune disease
2b7a_v,7,2.608,0.3726,-0.44889,3,2,2,0,0,0,Tyrosine-protein kinase JAK2,TRANSFERASE,DUT,JAK2_HUMAN,"Plays a role in leptin signaling and control of body weight (By similarity). Tyrosine kinase of the non-receptor type, involved in interleukin-3 and probably interleukin-23 signal transduction.","Chromosomal aberrations involving JAK2 are found in both chronic and acute forms of eosinophilic, lymphoblastic and myeloid leukemia. Translocation t(8;9)(p22;p24) with PCM1 links the protein kinase domain of JAK2 to the major portion of PCM1. Translocation t(9;12)(p24;p13) with ETV6.;Defects in JAK2 are a cause of susceptibility to Budd- Chiari syndrome [MIM:600880]. Budd-Chiari syndrome is a spectrum of disease states, including anatomic abnormalities and hypercoagulable disorders, resulting in hepatic venous outflow occlusion. Clinical manifestations observed in the majority of patients include hepatomegaly, right upper quadrant pain, and abdominal ascites.;Defects in JAK2 are associated with polycythemia vera (PV) [MIM:263300]. PV, the most common form of primary polycythemia, is caused by somatic mutation in a single hematopoietic stem cell leading to clonal hematopoiesis. PV is a myeloproliferative disorder characterized predominantly by erythroid hyperplasia, but also by myeloid leukocytosis, thrombocytosis, and splenomegaly. Familial cases of PV are very rare and usually manifest in elderly patients.;Defects in JAK2 gene may be a cause of essential thrombocythemia (ET) [MIM:187950]. ET is characterized by elevated platelet levels due to sustained proliferation of megakaryocytes, and frequently lead to thrombotic and haemorrhagic complications.;Defects in JAK2 are associated with familial myelofibrosis [MIM:254450]. Myelofibrosis with myeloid metaplasia is a myeloproliferative disease with annual incidence of 0.5-1.5 cases per 100,000 individuals and age at diagnosis around 60 (an increased prevalence is noted in Ashkenazi Jews). Clinical manifestations depend on the type of blood cell affected and may include anemia, pallor, splenomegaly, hypermetabolic state, petechiae, ecchymosis, bleeding, lymphadenopathy, hepatomegaly, portal hypertension.;Defects in JAK2 are a cause of acute myelogenous leukemia (AML) [MIM:601626]. AML is a malignant disease in which hematopoietic precursors are arrested in an early stage of development.",Psoriasis;Cancer;Rheumatoid arthritis;Pulmonary hypertension;Myeloid leukemia;Inflammation;Prostate tumor;Pancreas tumor;Myeloproliferative disorder;Solid tumor;Myelofibrosis;Hematological neoplasm;Cardiovascular disease
1g1r_v,6,2.231,0.3719,-0.3598,0,3,3,0,0,0,P-selectin,"IMMUNE SYSTEM, MEMBRANE PROTEIN",DDX39B BAT1 UAP56,LYAM3_HUMAN,Ca(2+)-dependent receptor for myeloid cells that binds to carbohydrates on neutrophils and monocytes. Mediates the interaction of activated endothelial cells or platelets with leukocytes. The ligand recognized is sialyl-Lewis X. Mediates rapid rolling of,"Defects in SELP may be a cause of susceptibility to ischemic stroke [MIM:601367]; also known as cerebrovascular accident or cerebral infarction. A stroke is an acute neurologic event leading to death of neural tissue of the brain and resulting in loss of motor, sensory and/or cognitive function. Ischemic strokes, resulting from vascular occlusion, is considered to be a highly complex disease consisting of a group of heterogeneous disorders with multiple genetic and environmental risk factors.",Sickle cell anemia;Inflammation;Transplant rejection;Myocardial infarction;Restenosis;Thrombosis
1tfg_v,9,3.342,0.3714,1.1624,4,2,2,1,0,0,Transforming growth factor beta-2,GROWTH FACTOR,ADAM33 C20orf153 UNQ873/PRO1891,TGFB2_HUMAN,TGF-beta 2 has suppressive effects on interleukin-2 dependent T-cell growth.,"A chromosomal aberration involving TGFB2 is found in a family with Peters anomaly [MIM:604229]. Translocation t(1;7)(q41;p21) with HDAC9. Peters anomaly consists of a central corneal leukoma, absence of the posterior corneal stroma and Descemet membrane, and a variable degree of iris and lenticular attachments to the central aspect of the posterior cornea.",NONE
1elv_v,6,2.215,0.3692,-1.20902,0,3,1,1,1,0,Complement C1s subcomponent,HYDROLASE,PPARA NR1C1 PPAR,C1S_HUMAN,"C1s B chain is a serine protease that combines with C1q and C1s to form C1, the first component of the classical pathway of the complement system. C1r activates C1s so that it can, in turn, activate C2 and C4.",Defects in C1S are the cause of selective C1s deficiency [MIM:120580]; that is associated with early onset multiple autoimmune diseases.,Reperfusion injury;Capillary leak syndrome;Angioedema;Cardiovascular disease;Myocardial infarction;Transplant rejection;Hereditary angioedema;Ischemia;Inflammation
1p5j_v,7,2.573,0.3676,-0.55285,2,4,0,0,1,0,L-serine dehydratase,NONE,GCDH,P20132,Amino acid transport and metabolism,NONE,For nutritional supplementation and for treating dietary shortage or imbalance.
1xjd_v,7,2.567,0.3667,-0.4692,4,1,1,1,0,0,Protein kinase C theta type,TRANSFERASE,MMP2 CLG4A,KPCT_HUMAN,"This is a calcium-independent, phospholipid-dependent, serine- and threonine-specific enzyme. Essential for T-cell receptor (TCR)-mediated T-cell activation, but is dispensable during TCR-dependent thymocyte development. Links the TCR signaling complex to;PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins. PKC also serves as the receptor for phorbol esters, a class of tumor promoters.",NONE,Inflammation
1dug_v,11,4.007,0.3643,2.26852,1,6,2,1,1,0,Fibrinogen gamma chain,"TRANSFERASE, BLOOD CLOTTING",GP1BA,FIBG_HUMAN,Fibrinogen has a double function: yielding monomers that polymerize into fibrin and acting as a cofactor in platelet aggregation.,Defects in FGG are a cause of thrombophilia.;Defects in FGG are a cause of congenital afibrinogenemia [MIM:202400]. It is a rare autosomal recessive disorder characterized by complete absence of detectable fibrinogen.,Wound healing;Cerebrovascular ischemia;Thrombosis;Ischemic heart disease;Cardiovascular disease;Infarction;Angina;Myocardial infarction;Thromboembolism;Osteoporosis;Unidentified indication
1r1j_v,8,2.909,0.3636,0.699347,2,2,2,0,2,0,Neprilysin,HYDROLASE,GSTA1,NEP_HUMAN,"Thermolysin-like specificity, but is almost confined on acting on polypeptides of up to 30 amino acids. Biologically important in the destruction of opioid peptides such as Met- and Leu-enkephalins by cleavage of a Gly-Phe bond. Involved in the degradatio",Important cell surface marker in the diagnostic of human acute lymphocytic leukemia.,Hypertension;Neuropathic pain;Renovascular hypertension;Congestive heart failure
1q5h_v,10,3.618,0.3618,1.38236,1,6,2,0,1,0,"Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial",HYDROLASE,ESR1 ESR NR3A1,DUT_HUMAN,"This enzyme is involved in nucleotide metabolism: it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA.",NONE,NONE
1xtj_v,9,3.25,0.3612,1.03321,0,5,2,0,2,0,Spliceosome RNA helicase BAT1,NONE,AMD1 AMD,Q13838,"Involved in nuclear export of spliced and unspliced mRNA. Assembling component of the TREX complex which is thought to couple mRNA transcription, processing and nuclear export, and specifically associates with spliced mRNA and not with unspliced pre-mRNA. TREX is recruited to spliced mRNAs by a transcription-independent mechanism, binds to mRNA upstream of the exon-junction complex (EJC) and is recruited in a splicing- and cap-dependent manner to a region near the 5' end of the mRNA where it functions in mRNA export to the cytoplasm via the TAP/NFX1 pathway. May undergo several rounds of ATP hydrolysis during assembly of TREX to drive subsequent loading of components such as ALYREF/THOC and CHTOP onto mRNA. The TREX complex is essential for the export of Kaposi's sarcoma-associated herpesvirus (KSHV) intronless mRNAs and infectious virus production. Also associates with pre-mRNA independent of ALYREF/THOC4 and the THO complex. Involved in the nuclear export of intronless mRNA; the ATP-bound form is proposed to recruit export adapter ALYREF/THOC4 to intronless mRNA; its ATPase activity is cooperatively stimulated by RNA and ALYREF/THOC4 and ATP hydrolysis is thought to trigger the dissociation from RNA to allow the association of ALYREF/THOC4 and the NXF1-NXT1 heterodimer. Involved in transcription elongation and genome stability.",NONE,NONE
1r55_v,10,3.611,0.3611,1.47214,2,4,4,0,0,0,ADAM 33,HYDROLASE,OAT,ADA33_HUMAN,NONE,Defects in ADAM33 may be a cause of susceptibility to asthma.,NONE
1k7l_v,8,2.885,0.3606,0.485385,6,2,0,0,0,0,Peroxisome proliferator-activated receptor alpha,TRANSCRIPTION,GART PGFT PRGS,PPARA_HUMAN,"Receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Once activated by a ligand, the receptor binds to a promoter element in the gene for acyl-CoA oxidase and activates its transcription. It therefore controls the pero",NONE,Syndrome X;Lipid metabolism disorder;Non-insulin dependent diabetes;Atherosclerosis;Hypertriglyceridemia;Hyperlipidemia;Cardiovascular disease;Congestive heart failure;Diabetes mellitus;Obesity;Inflammation
1sir_v,8,2.877,0.3596,1.2948,1,4,1,1,1,0,"Glutaryl-CoA dehydrogenase, mitochondrial",NONE,MAPK12 ERK6 SAPK3,Q92947,Lipid transport and metabolism,NONE,NONE
1hov_v,7,2.501,0.3572,-0.34017,4,1,2,0,0,0,72 kDa type IV collagenase,HYDROLASE/HYDROLASE INHIBITOR,ARL5A ARFLP5 ARL5,MMP2_HUMAN,"In addition to gelatin and collagens, it cleaves KiSS1 at a Gly-",#NAME?,"Defects in MMP2 are the cause of multicentric osteolysis nodulosis and arthropathy (MONA) [MIM:605156]. Inherited osteolyses or vanishing bone syndromes are rare disorders of unknown etiology characterized by destruction and resorption of affected bones. MONA is an autosomal recessive osteolysis with multicentric involvement characterized by carpal and tarsal resorption, crippling arthritic changes, marked osteoporosis, palmar and plantar subcutaneous nodules and distinctive facies.;Defects in MMP2 are the cause of Winchester syndrome [MIM:277950]. Winchester syndrome is an autosomal recessive osteolysis syndrome. Winchester syndrome is severe with generalized osteolysis and osteopenia. Subcutaneous nodules are usually absent. Winchester syndrome has been associated with a number of additional features including coarse face, corneal opacities, patches of thickened, hyperpigmented skin, hypertrichosis and gum hypertrophy. However, these features are not always present and have occasionally been observed in other osteolysis syndromes. The clinical and molecular findings suggest that Winchester syndrome and MONA are allelic disorders that form a continuous clinical spectrum."
1p9a_v,8,2.847,0.3558,1.07178,0,5,3,0,0,0,Platelet glycoprotein Ib alpha chain,NONE,FDPS FPS KIAA1293,P07359,Involved in protein binding,NONE,NONE
1usb_v,10,3.556,0.3556,2.03728,0,5,2,1,2,0,Glutathione S-transferase A1,NONE,ZAP70 SRK,P08263,Involved in glutathione transferase activity,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance"
1xp1_v,8,2.844,0.3555,0.229404,5,0,2,1,0,0,Estrogen receptor,HORMONE/GROWTH FACTOR RECEPTOR,TPSB2 TPS2,ESR1_HUMAN,Nuclear hormone receptor. The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues.,NONE,Melanoma;Brain tumor;Inflammation;Myocardial infarction;Fibrosis;Brain ischemia;Psoriasis;Rheumatoid arthritis;Retinitis pigmentosa;Atherosclerosis;Genitourinary disease;Breast disease;Atrophy;Crohns disease;Testosterone deficiency;Uterine fibroids;Fibrocystic breast disease;Arthralgia;Prostatitis;Prostate hyperplasia;Inflammatory bowel disease;Solid tumor;Gynecological disorder;Vascular disease;Contraception;Cancer;Sepsis;Hypercholesterolemia;Neurological disease;Ataxia;Cognitive disorder;Osteoporosis;Gynecomastia;Major depressive disorder;Acne;Female contraception;Dysmenorrhea;Neoplasm;Central nervous system disease;Multiple sclerosis;Alcoholism;Lacrimal gland disease;Carcinoma;Cardiovascular disease;Menopause;Unidentified indication;Alzheimers disease;Breast tumor;Scar tissue;Hyperlipidemia;Postmenopausal osteoporosis;Papillomavirus infection;Ovary tumor;Prostate tumor;Adrenal disease;Urinary dysfunction;Estrogen deficiency;Endometriosis;Hormone deficiency;Musculoskeletal disease;Glioma;Vagina disease;Non-small-cell lung cancer;Parkinsons disease;Uterus tumor;Psychiatric disorder
1i7b_v,8,2.826,0.3533,0.552348,2,3,3,0,0,0,S-adenosylmethionine decarboxylase proenzyme,LYASE,ARF4 ARF2,DCAM_HUMAN,NONE,NONE,Colorectal tumor;Non-Hodgkin lymphoma;Neoplasm;Cancer;Trypanosomiasis;Pneumocystis carinii infection;Bacterial infection
1gbn_v,8,2.826,0.3533,0.162205,2,4,0,0,2,0,"Ornithine aminotransferase, mitochondrial",TRANSFERASE,GSTA3,OAT_HUMAN,NONE,Defects in OAT are the cause of hyperornithinemia with gyrate atrophy of choroid and retina (HOGA) [MIM:258870]. HOGA is a slowly progressive blinding autosomal recessive disorder.,Cancer
1men_v,8,2.822,0.3527,0.077326,0,3,4,0,1,0,Trifunctional purine biosynthetic protein adenosine-3,TRANSFERASE,ITPKA,PUR2_HUMAN,NONE,NONE,Head and neck tumor;Carcinoma;Melanoma;Cancer;Sarcoma;Non-small-cell lung cancer;Breast tumor
1cm8_v,9,3.171,0.3523,1.07331,0,3,3,0,3,0,Mitogen-activated protein kinase 12,TRANSFERASE,IMPA1 IMPA,MK12_HUMAN,Responds to activation by environmental stress and pro- inflammatory cytokines by phosphorylating downstream targets. Plays a role in myoblast differentiation and also in the down- regulation of cyclin D1 in response to hypoxia in adrenal cells suggesting,NONE,NONE
1z6y_v,9,3.163,0.3515,1.04534,0,5,3,0,1,0,ADP-ribosylation factor-like protein 5A,NONE,HMGCR,Q9Y689,Involved in GTP binding,NONE,NONE
1yq7_v,8,2.808,0.3509,-0.33585,1,4,1,0,2,0,Farnesyl pyrophosphate synthetase,TRANSFERASE,BHMT,FPPS_HUMAN,"Key enzyme in isoprenoid biosynthesis which catalyzes the formation of farnesyl diphosphate (FPP), a precursor for several classes of essential metabolites including sterols, dolichols, carotenoids, and ubiquinones. FPP also serves as substrate for protei",NONE,NONE
1u59_v,7,2.452,0.3502,-0.77284,4,1,2,0,0,0,Tyrosine-protein kinase ZAP-70,TRANSFERASE,G6PD,ZAP70_HUMAN,"Plays a role in T-cell development and lymphocyte activation. Essential for TCR-mediated IL-2 production. Isoform 1 induces TCR-mediated signal transduction, isoform 2 does not.",Defects in ZAP70 are the cause of selective T-cell defect (STD) [MIM:176947]. STD is an autosomal recessive form of severe combined immunodeficiency characterized by a selective absence of CD8-type T-cells.,Transplant rejection;Immune disorder
2fs9_v,8,2.801,0.3501,0.83069,2,3,2,1,0,0,Tryptase beta-2,HYDROLASE,S100A9 CAGB CFAG MRP14,TRYB2_HUMAN,Tryptase is the major neutral protease present in mast cells and is secreted upon the coupled activation-degranulation response of this cell type. Has an immunoprotective role during bacterial infection. Required to efficiently combat K.pneumoniae infecti,NONE,NONE
1z6x_v,8,2.786,0.3482,0.079654,0,4,2,0,2,0,ADP-ribosylation factor 4,NONE,GPI,P18085,Involved in GTP binding,NONE,NONE
1tdi_v,9,3.133,0.3481,0.792711,1,5,1,1,1,0,Glutathione S-transferase A3,NONE,AR DHTR NR3C4,Q16772,Involved in glutathione transferase activity,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance"
1w2c_v,9,3.132,0.348,1.47215,0,3,3,0,3,0,Inositol-trisphosphate 3-kinase A,NONE,RFK,P23677,Involved in inositol trisphosphate 3-kinase activity,NONE,NONE
1awb_v,6,2.088,0.348,-1.49423,0,3,2,0,1,0,Inositol monophosphatase,HYDROLASE,FABP3 FABP11 MDGI,IMPA1_HUMAN,Responsible for the provision of inositol required for synthesis of phosphatidylinositol and polyphosphoinositides and has been implicated as the pharmacological target for lithium action in brain.,The blockade of inositol monophosphatase hydrolysis may underlie the anti-manic and anti-depressant actions of Li(+).,NONE
1hw8_v,7,2.428,0.3469,-0.4955,4,1,1,0,1,0,3-hydroxy-3-methylglutaryl-coenzyme A reductase,OXIDOREDUCTASE,GSTZ1 MAAI,HMDH_HUMAN,This transmembrane glycoprotein is involved in the control of cholesterol biosynthesis. It is the rate-limiting enzyme of sterol biosynthesis.,NONE,Alzheimers disease;Renal disease;Lipid metabolism disorder;Cardiac failure;Hyperlipidemia;Intermittent claudication;Myocardial infarction;Coronary artery disease;Glioma;Hypercholesterolemia;Atherosclerosis;Peripheral arterial occlusive disease;Cardiovascular disease;Congestive heart failure;Angina;Hypertension;Heart disease;Cerebrovascular ischemia;Osteoporosis
1lt8_v,8,2.772,0.3464,0.181961,2,5,0,1,0,0,Betaine--homocysteine S-methyltransferase 1,NONE,FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR,Q93088,Amino acid transport and metabolism,NONE,"Used for protein synthesis including the formation of SAMe, L-homocysteine, L-cysteine, taurine, and sulfate."
1qki_v,9,3.064,0.3405,1.2214,0,3,1,1,3,1,Glucose-6-phosphate 1-dehydrogenase,OXIDOREDUCTASE (CHOH(D)-NADP),Rheb,G6PD_HUMAN,Produces pentose sugars for nucleic acid synthesis and main producer of NADPH reducing power.,"Defects in G6PD are the cause of chronic non-spherocytic hemolytic anemia (CNSHA) [MIM:305900]. Deficiency of G6PD is associated with hemolytic anemia in two different situations. First, in areas in which malaria has been endemic, G6PD-deficiency alleles have reached high frequencies (1% to 50%) and deficient individuals, though essentially asymptomatic in the steady state, have a high risk of acute hemolytic attacks. Secondly, sporadic cases of G6PD deficiency occur at a very low frequencies, and they usually present a more severe phenotype. Several types of CNSHA are recognized. Class-I variants are associated with severe NSHA; class-II have an activity <10% of normal; class-III have an activity of 10% to 60% of normal; class-IV have near normal activity.",NONE
1irj_v,7,2.382,0.3403,-0.99703,4,0,3,0,0,0,Protein S100-A9,METAL BINDING PROTEIN,APRT,S10A9_HUMAN,Expressed by macrophages in acutely inflammated tissues and in chronic inflammations. Seem to be an inhibitor of protein kinases. Also expressed in epithelial cells constitutively or induced during dermatoses. May interact with components of the intermedi,NONE,NONE
1iri_v,7,2.369,0.3384,-1.01078,0,6,1,0,0,0,Glucose-6-phosphate isomerase,ISOMERASE,ME2,G6PI_HUMAN,Neurotrophic factor for spinal and sensory neurons.,"Defects in GPI are a cause of hereditary nonspherocytic hemolytic anemia (HA) [MIM:172400]. Severe GPI deficiency can be associated with hydrops fetalis, immediate neonatal death and neurological impairment.",NONE
1gs4_v,8,2.695,0.3369,-0.42558,5,3,0,0,0,0,Androgen receptor,ANDROGEN RECEPTOR,SULT2B1 HSST2,ANDR_HUMAN,Steroid hormone receptors are ligand-activated transcription factors that regulate eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Transcription factor activity is modulated by bound coactivator and core,"Genetic variation in AR can be responsible of androgenetic alopecia (AGA) [MIM:109200].;Defects in AR are the cause of androgen insensibility syndrome (AIS) [MIM:300068]; previously known as testicular feminization syndrome (TFM). It can be complete (CAIS) when external genitalia are phenotypically female; or partial (PAIS) when external genitalia are substantively ambiguous or mild (MAIS) when external genitalia are normal male or nearly so.;Defects in AR are the cause of X-linked spinal and bulbar muscular atrophy (SBMA) [MIM:313200]; also known as Kennedy disease. In SBMA patients the number of Gln ranges from 40 to 52. Longer expansions result in earlier onset and more severe clinical manifestations of the disease.;Defects in AR may play a role in metastatic prostate cancer. The mutated receptor stimulates prostate growth and metastases development despite of androgen ablation. This treatment can reduce primary and metastatic lesions probably by inducing apoptosis of tumor cells when they express the wild-type receptor.;Defects in AR may be the cause of infertility male syndrome [MIM:308370]; also called androgen insensitivity. It is characterized by azoospermia, elevated testosterone and luteinizing hormone plasma levels and an abnormal androgen receptor.;Defects in AR are the cause of Reifenstein syndrome [MIM:312300]; also known as partial androgen insensitivity. The features of this form of male pseudohermaphroditism are hypospadias, hypogonadism, gynecomastia, normal XY karyotype, and a pedigree pattern consistent with X-linked recessive inheritance.",Hypoactive sexual desire disorder;Hepatitis B virus infection;Cardiac failure;Andrology;Hirsutism;Female sexual dysfunction;Psoriasis;Reperfusion injury;Plasmodium infection;Atherosclerosis;Prostate hyperplasia;Fatigue;Male sexual dysfunction;Autoimmune disease;Testosterone deficiency;Uterine fibroids;Metabolic disorder;Myalgia;Obesity;Gynecological disorder;Contraception;Cancer;Hypercholesterolemia;Skin burns;Seborrhea;Growth disorder;Bone tumor;Muscular dystrophy;Erectile dysfunction;Systemic lupus erythematosus;Asthma;Wound healing;Cerebrovascular ischemia;Acne;Hypogonadism;HIV infection;Neoplasm;Dermatological disease;Prostate disease;Multiple sclerosis;Lacrimal gland disease;Alopecia;Mycobacterium tuberculosis infection;Ovary cyst;Carcinoma;Cardiovascular disease;Cachexia;Muscle wasting disease;Cervical dystonia;Anemia;Endocrine disease;Non-insulin dependent diabetes;Breast tumor;Female contraception;Fungal infection;Cystic fibrosis;Prostate tumor;Estrogen deficiency;Endometriosis;Hormone deficiency;Turners syndrome;Keratosis;Premenstrual syndrome;Hepatitis C virus infection;Benign tumor;Osteoporosis;Male contraception
1o7a_v,8,2.693,0.3366,-0.33338,1,4,3,0,0,0,Beta-hexosaminidase beta chain,NONE,MAPK10 JNK3 JNK3A PRKM10 SAPK1B,P07686,Carbohydrate transport and metabolism,NONE,NONE
1nb9_v,11,3.701,0.3364,1.66547,0,7,2,0,2,0,Riboflavin kinase,NONE,DPEP1 MDP RDP,Q969G6,Coenzyme transport and metabolism,NONE,For the treatment of ariboflavinosis (vitamin B2 deficiency).
1hms_v,8,2.687,0.3358,-0.64441,6,1,0,0,1,0,"Fatty acid-binding protein, heart",LIPID-BINDING PROTEIN,PMS2 PMSL2,FABPH_HUMAN,FABP are thought to play a role in the intracellular transport of long-chain fatty acids and their acyl-CoA esters.,NONE,NONE
1fw1_v,10,3.355,0.3355,1.61222,0,6,3,0,1,0,Maleylacetoacetate isomerase,NONE,CTSG,O43708,"Posttranslational modification, protein turnover, chaperones",NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance"
